,price_frequency,discount_frequency,selling_proposition_frequency,goods-title-link_frequency,price_frequency_x_discount_frequency,price_frequency_div_discount_frequency,price_frequency_x_selling_proposition_frequency,price_frequency_div_selling_proposition_frequency,price_frequency_x_goods-title-link_frequency,price_frequency_div_goods-title-link_frequency,discount_frequency_x_selling_proposition_frequency,discount_frequency_div_selling_proposition_frequency,discount_frequency_x_goods-title-link_frequency,discount_frequency_div_goods-title-link_frequency,selling_proposition_frequency_x_goods-title-link_frequency,selling_proposition_frequency_div_goods-title-link_frequency
price_frequency,1.0,0.48079139987787856,-0.22074061134409959,0.0595461348468849,0.9580575696293611,0.08779815556354544,0.5474520845429639,0.1910405487007323,0.7327479246141029,0.9320264788273748,0.06087907190160388,0.09973735918528387,0.4121447736424961,0.40477637805505484,-0.17788504553357182,-0.19660802040562333
discount_frequency,0.48079139987787856,1.0,-0.07634147342343313,-0.03722816816624473,0.574781647764989,-0.23885492266874384,0.2763753957813045,0.09609104799569347,0.3385559229270353,0.4563022874865657,0.5030291126799388,0.1219368124890542,0.69106277230203,0.92120010994461,-0.12903077964201384,-0.0374474485286115
selling_proposition_frequency,-0.22074061134409959,-0.07634147342343313,1.0,-0.010968178627593592,-0.20966260595059988,-0.01569096461461435,0.3747199104976019,-0.16041165675130054,-0.19124813049549516,-0.18547625176418622,0.6587012885879346,-0.1646183257711095,-0.11390553766900123,-0.03851716263570908,0.7304530726852306,0.9372081230295054
goods-title-link_frequency,0.0595461348468849,-0.03722816816624473,-0.010968178627593592,1.0,0.06348863599458959,-0.019702982026221446,-0.03491761563147168,0.03420391233476621,0.5194126739187443,-0.15946611657637494,-0.08780278741965764,0.020255012675428195,0.5351834515855116,-0.28584415643862715,0.48667955414864206,-0.21895744205979098
price_frequency_x_discount_frequency,0.9580575696293611,0.574781647764989,-0.20966260595059988,0.06348863599458959,1.0,-0.12324040728588481,0.5228539830542199,0.18533803629438675,0.7134185780030871,0.8881183984282178,0.11160623155730891,0.11030150024271751,0.47561824480495923,0.4919729173700127,-0.16923086766092665,-0.18661254875056343
price_frequency_div_discount_frequency,0.08779815556354544,-0.23885492266874384,-0.01569096461461435,-0.019702982026221446,-0.12324040728588481,1.0,0.09137222688508057,-0.01021356712074184,0.03105338243591633,0.10393470439713612,-0.1244205517433707,-0.028375520987924632,-0.16392343589698297,-0.22046455250443672,-0.017105556552874643,-0.010301673577013715
price_frequency_x_selling_proposition_frequency,0.5474520845429639,0.2763753957813045,0.3747199104976019,-0.03491761563147168,0.5228539830542199,0.09137222688508057,1.0,-0.0647652226475564,0.3297409532088704,0.5561879765605169,0.5257319389517344,-0.07589707191690481,0.17054395499970645,0.26869048998817685,0.22379505843507877,0.3770778220440001
price_frequency_div_selling_proposition_frequency,0.1910405487007323,0.09609104799569347,-0.16041165675130054,0.03420391233476621,0.18533803629438675,-0.01021356712074184,-0.0647652226475564,1.0,0.15698559962747607,0.16211188992495734,-0.10525107004613125,0.802689095167458,0.09993506027786873,0.06924432711250234,-0.11551005073747336,-0.1505692587697697
price_frequency_x_goods-title-link_frequency,0.7327479246141029,0.3385559229270353,-0.19124813049549516,0.5194126739187443,0.7134185780030871,0.03105338243591633,0.3297409532088704,0.15698559962747607,1.0,0.4830358716695307,0.0014870656574590406,0.0817334358504731,0.7212783167461769,0.11598309181704478,-0.04147154522807077,-0.2250940970975231
price_frequency_div_goods-title-link_frequency,0.9320264788273748,0.4563022874865657,-0.18547625176418622,-0.15946611657637494,0.8881183984282178,0.10393470439713612,0.5561879765605169,0.16211188992495734,0.4830358716695307,1.0,0.0835565029545229,0.0851141791662028,0.19912673675242154,0.4969868806900649,-0.2095135447607611,-0.12731512904720815
discount_frequency_x_selling_proposition_frequency,0.06087907190160388,0.5030291126799388,0.6587012885879346,-0.08780278741965764,0.11160623155730891,-0.1244205517433707,0.5257319389517344,-0.10525107004613125,0.0014870656574590406,0.0835565029545229,1.0,-0.10514527069192597,0.2804773549054108,0.4979767914112134,0.38881215020888293,0.6597870364834975
discount_frequency_div_selling_proposition_frequency,0.09973735918528387,0.1219368124890542,-0.1646183257711095,0.020255012675428195,0.11030150024271751,-0.028375520987924632,-0.07589707191690481,0.802689095167458,0.0817334358504731,0.0851141791662028,-0.10514527069192597,1.0,0.10675363627466589,0.09871614853561471,-0.1193689846777978,-0.1541331664982346
discount_frequency_x_goods-title-link_frequency,0.4121447736424961,0.69106277230203,-0.11390553766900123,0.5351834515855116,0.47561824480495923,-0.16392343589698297,0.17054395499970645,0.09993506027786873,0.7212783167461769,0.19912673675242154,0.2804773549054108,0.10675363627466589,1.0,0.4059023238999566,0.016732078926444828,-0.1676352104477439
discount_frequency_div_goods-title-link_frequency,0.40477637805505484,0.92120010994461,-0.03851716263570908,-0.28584415643862715,0.4919729173700127,-0.22046455250443672,0.26869048998817685,0.06924432711250234,0.11598309181704478,0.4969868806900649,0.4979767914112134,0.09871614853561471,0.4059023238999566,1.0,-0.17675138465177456,0.05511147984498472
selling_proposition_frequency_x_goods-title-link_frequency,-0.17788504553357182,-0.12903077964201384,0.7304530726852306,0.48667955414864206,-0.16923086766092665,-0.017105556552874643,0.22379505843507877,-0.11551005073747336,-0.04147154522807077,-0.2095135447607611,0.38881215020888293,-0.1193689846777978,0.016732078926444828,-0.17675138465177456,1.0,0.4973404898108421
selling_proposition_frequency_div_goods-title-link_frequency,-0.19660802040562333,-0.0374474485286115,0.9372081230295054,-0.21895744205979098,-0.18661254875056343,-0.010301673577013715,0.3770778220440001,-0.1505692587697697,-0.2250940970975231,-0.12731512904720815,0.6597870364834975,-0.1541331664982346,-0.1676352104477439,0.05511147984498472,0.4973404898108421,1.0
